Scenario,Response,Mean,Median,Minimum,Maximum,HalfWidth,Mean Confidence Interval Start,Mean Confidence Interval End,Upper Percentile,Upper Percentile Confidence Interval Start,Upper Percentile Confidence Interval End,Lower Percentile,Lower Percentile Confidence Interval Start,Lower Percentile Confidence Interval End
019,OffUtilization,0.569822819002018,0.572531129892066,0.561442177756232,0.579558947747202,0.00762393015601372,0.562198888846004,0.577446749158032,0.575005824392515,NaN,NaN,0.561896195621,NaN,NaN
019,EveningUtilization,0.344841702519632,0.348915224953247,0.334387306317609,0.358933554777036,0.0115798722692738,0.333261830250358,0.356421574788906,0.355523217028631,NaN,NaN,0.334980316359835,NaN,NaN
019,MorningUtilization,0.135132378976253,0.136096587485137,0.130460702542438,0.140318108728548,0.00428524224128181,0.130847136734971,0.139417621217535,0.139305648450851,NaN,NaN,0.131912517706519,NaN,NaN
019,AvgPassTime,0.500387840659122,0.500388839901634,0.500376434685209,0.500396987301868,7.11930549282084E-06,0.500380721353629,0.500394959964615,0.500391202508757,NaN,NaN,0.500385849661267,NaN,NaN
020,OffUtilization,0.567681637542537,0.571680284942896,0.560501742462804,0.572706916866545,0.00552296116417856,0.562158676378358,0.573204598706715,0.572045435494987,NaN,NaN,0.562662647822353,NaN,NaN
020,EveningUtilization,0.349158970757946,0.350420639384072,0.342342215532849,0.353844568115194,0.00431488560585475,0.344844085152091,0.353473856363801,0.352415302861629,NaN,NaN,0.347246936646643,NaN,NaN
020,MorningUtilization,0.138183595392331,0.14265371902828,0.129239424427569,0.145762359539989,0.00699087327316353,0.131192722119168,0.145174468665495,0.143466697389681,NaN,NaN,0.13318264746514,NaN,NaN
020,AvgPassTime,0.50053233885959,0.50053393014321,0.500528141733186,0.500538111884436,4.19627867071448E-06,0.50052814258092,0.500536535138261,0.500535206839524,NaN,NaN,0.500529269121003,NaN,NaN
021,OffUtilization,0.573768549434934,0.574800344985927,0.563613191317317,0.591459679572187,0.0113503696738001,0.562418179761134,0.585118919108734,0.580326213051271,NaN,NaN,0.563953805354803,NaN,NaN
021,EveningUtilization,0.346364235690228,0.345644639642086,0.341324228160202,0.357384031257203,0.00627328957382943,0.340090946116398,0.352637525264057,0.348295689476181,NaN,NaN,0.341855988567709,NaN,NaN
